Word,Definition,Etymology,Part_of_Speech,Date,Syllables,Phonetic,Offensive
wastewater,water that has been used (as in a manufacturing process) : sewage,,noun,15th century,waste*wa*ter,ˈwāst-ˌwȯ-tər,f
toll:2,to take or levy toll,,verb,14th century{ds|i|||},toll,"",f
anonymize,"to remove identifying information from (something, such as computer data) so that the original source cannot be known : to make (something) anonymous","{{text,'"{et_link|anonym(ous)|anonymous} + {et_link|-ize|-ize}'"}}",verb,1858,anon*y*mize,ə-ˈnä-nə-ˌmīz,f
parkway,a broad landscaped thoroughfare,,noun,1875,park*way,ˈpärk-ˌwā,f
Odoacer:b,433—493 1st barbarian ruler of Italy (476—493),,biographical name,,Odo*a*cer,ˈō-də-ˌwā-sər,f
"",no definition,unknown,"","","","",f
rigorous,"manifesting, exercising, or favoring rigor : very strict",,adjective,15th century{ds||1||},rig*or*ous,ˈri-g(ə-)rəs,f
wretch,a miserable person : one who is profoundly unhappy or in great misfortune,"{{text,'"Middle English {it}wrecche,{/it} going back to Old English {it}wræcca, wrecce{/it} \'"exile, stranger, despicable person,\'" going back to Germanic {it}*wrakjan-{/it} \'"someone pursued, exile\'" (whence Old Saxon {it}wrekkio{/it} \'"stranger,\'" Old High German {it}reccho, reccheo, recko{/it} \'"person banished, stranger\'"), noun derivative of {it}*wrekan-{/it} \'"to pursue\'" {ma}{mat|wreak|wreak}{/ma}'"}}",noun,before 12th century{ds||1||},wretch,ˈrech,f
sunward:1,toward the sun,,adverb,1633,sun*ward,ˈsən-wərd,f
antistatic,"reducing, removing, or preventing the buildup of static electricity",,adjective,1912,an*ti*stat*ic,ˌan-tē-ˈsta-tik,f
sill,a horizontal piece (such as a timber) that forms the lowest member or one of the lowest members of a framework or supporting structure: such as,"{{text,'"Middle English {it}sille{/it}, from Old English {it}syll{/it}; akin to Old High German {it}swelli{/it} beam, threshold'"}}",noun,before 12th century{ds||1||},sill,ˈsil,f
fretful,"disposed to fret : irritable, restless",,adjective,1594,fret*ful,ˈfret-fəl,f
theobromine,a bitter alkaloid C7H8N4O2 closely related to caffeine that occurs especially in cacao beans and has stimulant and diuretic properties,"{{text,'"New Latin {it}Theobroma{/it}, genus that includes the cacao, from {it}the-{/it} + Greek {it}brōma{/it} food, from {it}bibrōskein{/it} to devour {ma}{mat|voracious|}{/ma}'"}}",noun,1842,theo*bro*mine,ˌthē-ə-ˈbrō-ˌmēn,f
oxytetracycline,a yellow crystalline broad-spectrum antibiotic C22H24N2O9 produced by a soil actinomycete (Streptomyces rimosus),,noun,1952,oxy*tet*ra*cy*cline,ˌäk-si-ˌte-trə-ˈsī-ˌklēn,f
